Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q2,Q3,Q4,Q4_11_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q7A,Q17,Q7B,Q7B_3_TEXT,Q11_1,Q8,Q9,Q9_5_TEXT,Q10,Q12,Q12A,Q13,Q13A,Q20,Q22,Q8 - Topics
I don't travel during this time,Walk,Walk,Walk,Door-to-door shuttle,Walk,I don't travel during this time,Home to work,Work to elsewhere,Work to home,Work to home,Home to work,,East Rock,"Hillhouse area,Prospect",,,,,No,,,"Lack of bike paths,Nowhere to store bike (i.e. bike racks),Due to weather considerations,Don't feel safe biking in traffic",,5,I work at SSS and live on Orange and Humphrey. The shuttle gets home after an hour of exploring the universe.,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,No,Unknown
Walk,Walk,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Other,Science Hill,,Winchester Ave. and Mansfield St.,"Shuttle access,Security presence",,No,,,"Because the commute is too short/long,Due to weather considerations",,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),Prospect Hill,West campus,,"Mansfield, Winchester, near Med School","Shuttle access,Improve lighting,Security presence",,No,,,"Because the commute is too short/long,Due to weather considerations",,5,"I've had door to door shuttles not drop me off at the location I requested, but rather at a common area for people to walk home in the dark in unsafe areas such as Mansfield and Winchester Avenues. 

We need more West Campus shuttles on weekends (it only comes every hour) 

There should be more Red lines in the mornings, because almost every time I ride it, people are left behind due to the lack of space. 

More security shuttle service vehicles should be available, because sometimes we are forced to wait more than forty minutes for the shuttle to arrive. It's dangerous if we're waiting in an ""unsafe"" area. ",Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Walk,Fixed route shuttle,Walk,Door-to-door shuttle,I don't travel during this time,Other,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"Science Hill,Prospect",,,,,No,,,Because the commute is too short/long,,15,,"No, I wouldn't be interested",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Walk,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,Work to home,Home to work,Home to elsewhere,Home to elsewhere,Home to elsewhere,,Prospect Hill,"Other (please specify),Hillhouse area",Law Library,No,,,No,,,"Because the commute is too short/long,Because bikes are expensive",,15,"Service is subpar most of the times (conductors usually very rude in fixed shuttles, less so in the door to door service)","Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,No,No,,No,,No,Yes,Unknown
I don't travel during this time,Walk,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Uber/taxi,I don't travel during this time,Home to work,Work to elsewhere,Home to elsewhere,Work to home,Home to elsewhere,To-door shuttle (Law/Med),Prospect Hill,"Science Hill,Hillhouse area,Whitney/Temple (includes SOM),Old campus",,Mansfield street. Whitney and Orange at night. ,"Shuttle access,Other (please specify)","More door to door shuttles available during peak times. Sometimes the wait is over an hour and that's too long to wait, even for a free ride. Especially if the place I'm at is closing or the people are all leaving. Or if it's bad weather. ",No,,,"Other (please specify),Don't feel safe biking in traffic","I don't feel comfortable riding bikes in inclement weather (cold, rain, poor lighting) ",15,More often. ,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,Yes,Yes,Unknown
Walk,I don't travel during this time,Walk,Car,I don't travel during this time,Car,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,"CT transit,To-door shuttle (Law/Med)",Mansfield/Yale Health area,"Science Hill,Hillhouse area",,Along Hillside Place/by the parking lot on the corner of Hillside & Prospect,"Shuttle access,Security presence",,No,,,Lack of bike paths,,8,Pleeeease more weekend shuttles! I always end up driving to get to PWG on weekends because the shuttles are so infrequent and don't come by Prospect St. And shuttles to downtown from Science Hill area on weekday evenings/nights -- would greatly facilitate participation in clubs and socializing,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Walk,I don't travel during this time,Fixed route shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Prefer not to answer,Home to work,To-door shuttle (Law/Med),Mansfield/Yale Health area,"Science Hill,West campus",,Science Park/Mansfield/Winchester,Security presence,,No,,,"Nowhere to store bike (i.e. bike racks),Because the commute is too short/long",,27,"For green and purple, the drivers need to know which shifts are door-to-door. It happened many times that the drivers didn't know they should drop off passengers to where they want to go.","Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Fixed route shuttle,I don't travel during this time,I don't travel during this time,Door-to-door shuttle,I don't travel during this time,Car,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to work,,East Rock,West campus,,Anywhere at night,Shuttle access,,No,,,"Because the commute is too short/long,Due to weather considerations",,10,"More convenient phone communications, instead of being routed to a recording",Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,Yes,Yes,Unknown
Car,Walk,Walk,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to work,"Door to door shuttle,To-door shuttle (Law/Med)",Hamden,"Science Hill,West campus",,None,"Shuttle access,Improve lighting,Security presence",,No,,,Don't feel safe biking in traffic,,10,More consistent arrival and departure times,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Fixed route shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Home to work,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,Science Hill,,Mansfield street,Security presence,,No,,,"Because the commute is too short/long,Because bikes are expensive",,10,Provide some information about when a shuttle will start running,Yale provided incentives for using CT transit instead of a car,,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Walk,Walk,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Work to elsewhere,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,Science Hill,,No,,,No,,,Because the commute is too short/long,,45,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Bike,Bike,Bike,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"Hillhouse area,Whitney/Temple (includes SOM),Cross campus",,"During the day I feel pretty safe, but generally nowhere in New Haven do I feel totally safe","Improve lighting,Other (please specify)",Systemic problem that is bigger than a band-aid transportation solution ,Yes,,,,,4,More often,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Car,Car,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Work to home,Home to work,To-door shuttle (Law/Med),Mansfield/Yale Health area,Science Hill,,,,,No,,,"Due to weather considerations,Because bikes are expensive",,,,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,Yes,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Work to home,Work to elsewhere,Work to elsewhere,Home to work,I don't travel during this time,Home to elsewhere,"Fixed route shuttle,Door to door shuttle,To-door shuttle (Law/Med)",East Rock,Science Hill,,walking home at night,"Shuttle access,Improve lighting",,No,,,Nowhere to store bike (i.e. bike racks),,10,need a bus route that goes down to state street (like state and lawerence) to science hill,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Walk,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to work,I don't travel during this time,Work to elsewhere,Work to home,Work to home,Home to elsewhere,To-door shuttle (Law/Med),Downtown,Science Hill,,Canner and prospect,"Shuttle access,Improve lighting,Security presence",,No,,,"Other (please specify),Because bikes are expensive",I dont like biking,10,Better management,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Bike,I don't travel during this time,Bike,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,"Door to door shuttle,To-door shuttle (Law/Med)",Mansfield/Yale Health area,Science Hill,,,,,Yes,,,,,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,
Walk,Walk,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Uber/taxi,Home to work,I don't travel during this time,Work to home,Home to elsewhere,Prefer not to answer,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,Whitney/Temple (includes SOM),,"Yes,  all of Mansfield street, parts of Prospect street (beyond Edwards)","Shuttle access,Security presence",,No,,,Due to weather considerations,,15,No shuttle from Whitney to Mansfield ,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,Yes,Unknown
Fixed route shuttle,I don't travel during this time,I don't travel during this time,Fixed route shuttle,I don't travel during this time,Walk,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"Science Hill,West campus",,,,,No,,,Because the commute is too short/long,,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,No,
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,Work to home,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,I feel safe in my route,"Improve lighting,Blue light",,Yes,,,,,20,More east rock pickup stops at night,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Fixed route shuttle,Walk,Fixed route shuttle,Fixed route shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Work to home,,Mansfield/Yale Health area,"Hillhouse area,Old campus",,,,,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,15,I like the blue night route that gives priority to mansfield,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"Science Hill,Hillhouse area",,,,,No,,,Other (please specify),Haven't gotten around to getting a bike yet,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,
